Station ID,Date,Latitude,Longitude,Elevation,Marion_IN.csv,Temperature,Temp. Attributes,Windspeed,Rain,Rain Attributes
74421494852,2020-03-27,40.48333,-85.68333,263.0,Marion_IN.csv,49.8,24,8.3,0.13,B
74421494852,2020-03-28,40.48333,-85.68333,263.0,Marion_IN.csv,51.0,24,6.7,0.15,C
74421494852,2020-03-29,40.48333,-85.68333,263.0,Marion_IN.csv,57.1,24,16.9,0.14,A
74421494852,2020-03-30,40.48333,-85.68333,263.0,Marion_IN.csv,45.7,24,14.3,0.0,I
74421494852,2020-03-31,40.48333,-85.68333,263.0,Marion_IN.csv,38.2,24,4.3,0.0,I
74421494852,2020-04-01,40.48333,-85.68333,263.0,Marion_IN.csv,41.8,24,4.1,0.01,G
74421494852,2020-04-02,40.48333,-85.68333,263.0,Marion_IN.csv,42.8,24,0.5,0.0,G
74421494852,2020-04-03,40.48333,-85.68333,263.0,Marion_IN.csv,50.5,24,0.8,0.0,I
74421494852,2020-04-04,40.48333,-85.68333,263.0,Marion_IN.csv,52.3,24,3.9,0.02,A
74421494852,2020-04-05,40.48333,-85.68333,263.0,Marion_IN.csv,44.1,24,4.1,0.0,I
74421494852,2020-04-06,40.48333,-85.68333,263.0,Marion_IN.csv,47.2,24,3.0,0.0,I
74421494852,2020-04-07,40.48333,-85.68333,263.0,Marion_IN.csv,62.7,24,6.5,0.0,I
74421494852,2020-04-08,40.48333,-85.68333,263.0,Marion_IN.csv,65.3,24,5.6,0.01,G
74421494852,2020-04-09,40.48333,-85.68333,263.0,Marion_IN.csv,48.5,24,15.4,0.13,G
74421494852,2020-04-10,40.48333,-85.68333,263.0,Marion_IN.csv,37.2,24,10.1,0.0,G
74421494852,2020-04-11,40.48333,-85.68333,263.0,Marion_IN.csv,44.7,24,4.3,0.0,I
74421494852,2020-04-12,40.48333,-85.68333,263.0,Marion_IN.csv,53.0,24,8.6,0.02,G
74421494852,2020-04-13,40.48333,-85.68333,263.0,Marion_IN.csv,46.5,24,14.3,0.07,G
74421494852,2020-04-14,40.48333,-85.68333,263.0,Marion_IN.csv,34.9,24,10.3,0.0,G
74421494852,2020-04-15,40.48333,-85.68333,263.0,Marion_IN.csv,32.9,24,10.2,99.99, 
74421494852,2020-04-16,40.48333,-85.68333,263.0,Marion_IN.csv,33.4,24,7.3,0.03,A
74421494852,2020-04-17,40.48333,-85.68333,263.0,Marion_IN.csv,38.8,24,4.8,0.1,B
74421494852,2020-04-18,40.48333,-85.68333,263.0,Marion_IN.csv,39.0,24,7.1,0.0,I
74421494852,2020-04-19,40.48333,-85.68333,263.0,Marion_IN.csv,47.8,24,7.6,0.0,I
74421494852,2020-04-20,40.48333,-85.68333,263.0,Marion_IN.csv,48.2,24,8.0,0.0,I
74421494852,2020-04-21,40.48333,-85.68333,263.0,Marion_IN.csv,48.0,24,13.1,99.99, 
74421494852,2020-04-22,40.48333,-85.68333,263.0,Marion_IN.csv,45.3,24,4.8,99.99, 
74421494852,2020-04-23,40.48333,-85.68333,263.0,Marion_IN.csv,52.3,24,3.5,0.13,B
74421494852,2020-04-24,40.48333,-85.68333,263.0,Marion_IN.csv,51.1,22,4.0,0.01,A
74421494852,2020-04-25,40.48333,-85.68333,263.0,Marion_IN.csv,57.0,24,9.0,99.99, 
74421494852,2020-04-26,40.48333,-85.68333,263.0,Marion_IN.csv,49.2,24,13.2,0.21,G
74421494852,2020-04-27,40.48333,-85.68333,263.0,Marion_IN.csv,50.0,24,5.4,0.0,G
74421494852,2020-04-28,40.48333,-85.68333,263.0,Marion_IN.csv,60.7,24,8.6,0.05,G
74421494852,2020-04-29,40.48333,-85.68333,263.0,Marion_IN.csv,60.1,24,12.5,0.17,G
74421494852,2020-04-30,40.48333,-85.68333,263.0,Marion_IN.csv,44.2,24,12.8,0.05,G
74421494852,2020-05-01,40.48333,-85.68333,263.0,Marion_IN.csv,48.9,24,6.5,0.0,G
74421494852,2020-05-02,40.48333,-85.68333,263.0,Marion_IN.csv,64.4,24,9.1,0.0,I
74421494852,2020-05-03,40.48333,-85.68333,263.0,Marion_IN.csv,64.3,24,6.2,0.08,G
74421494852,2020-05-04,40.48333,-85.68333,263.0,Marion_IN.csv,52.5,24,4.9,0.04,G
74421494852,2020-05-05,40.48333,-85.68333,263.0,Marion_IN.csv,49.2,24,9.4,0.0,G
74421494852,2020-05-06,40.48333,-85.68333,263.0,Marion_IN.csv,45.2,24,6.4,0.08,G
74421494852,2020-05-07,40.48333,-85.68333,263.0,Marion_IN.csv,51.9,24,9.7,0.0,G
74421494852,2020-05-08,40.48333,-85.68333,263.0,Marion_IN.csv,50.9,24,10.5,0.01,G
74421494852,2020-05-09,40.48333,-85.68333,263.0,Marion_IN.csv,38.1,24,7.3,0.0,G
74421494852,2020-05-10,40.48333,-85.68333,263.0,Marion_IN.csv,47.4,24,12.2,0.07,B
74421494852,2020-05-11,40.48333,-85.68333,263.0,Marion_IN.csv,40.1,24,10.6,0.01,A
74421494852,2020-05-12,40.48333,-85.68333,263.0,Marion_IN.csv,44.5,24,4.4,99.99, 
74421494852,2020-05-13,40.48333,-85.68333,263.0,Marion_IN.csv,51.7,24,5.4,0.0,I
74421494852,2020-05-14,40.48333,-85.68333,263.0,Marion_IN.csv,60.7,24,10.4,0.17,A
74421494852,2020-05-15,40.48333,-85.68333,263.0,Marion_IN.csv,64.6,24,7.9,0.5,C
74421494852,2020-05-16,40.48333,-85.68333,263.0,Marion_IN.csv,63.7,24,3.5,0.1,A
74421494852,2020-05-17,40.48333,-85.68333,263.0,Marion_IN.csv,64.3,24,6.7,0.12,B
74421494852,2020-05-18,40.48333,-85.68333,263.0,Marion_IN.csv,62.5,24,4.7,1.18,G
74421494852,2020-05-19,40.48333,-85.68333,263.0,Marion_IN.csv,61.1,24,8.0,0.19,G
74421494852,2020-05-20,40.48333,-85.68333,263.0,Marion_IN.csv,54.7,24,11.1,0.04,G
74421494852,2020-05-21,40.48333,-85.68333,263.0,Marion_IN.csv,57.2,24,8.7,0.0,G
74421494852,2020-05-22,40.48333,-85.68333,263.0,Marion_IN.csv,61.2,24,0.9,0.0,I
74421494852,2020-05-23,40.48333,-85.68333,263.0,Marion_IN.csv,66.0,24,4.5,0.55,A
74421494852,2020-05-24,40.48333,-85.68333,263.0,Marion_IN.csv,72.3,24,6.8,0.0,I
74421494852,2020-05-25,40.48333,-85.68333,263.0,Marion_IN.csv,75.3,24,5.8,0.04,A
74421494852,2020-05-26,40.48333,-85.68333,263.0,Marion_IN.csv,75.1,24,4.6,0.0,I
74421494852,2020-05-27,40.48333,-85.68333,263.0,Marion_IN.csv,73.4,24,4.0,0.07,A
74421494852,2020-05-28,40.48333,-85.68333,263.0,Marion_IN.csv,70.0,24,6.0,0.36,G
74421494852,2020-05-29,40.48333,-85.68333,263.0,Marion_IN.csv,67.1,24,6.2,1.0,G
74421494852,2020-05-30,40.48333,-85.68333,263.0,Marion_IN.csv,62.9,24,5.0,0.01,G
