Station ID,Date,Latitude,Longitude,Elevation,Lehigh_PA.csv,Temperature,Temp. Attributes,Windspeed,Rain,Rain Attributes
72517014737,2020-05-06,40.64985,-75.44771,118.9,Lehigh_PA.csv,52.6,24,6.6,0.0,G
72517014737,2020-05-07,40.64985,-75.44771,118.9,Lehigh_PA.csv,53.9,24,7.0,0.02,G
72517014737,2020-05-08,40.64985,-75.44771,118.9,Lehigh_PA.csv,51.7,24,4.2,0.0,G
72517014737,2020-05-09,40.64985,-75.44771,118.9,Lehigh_PA.csv,41.5,24,13.4,0.69,G
72517014737,2020-05-10,40.64985,-75.44771,118.9,Lehigh_PA.csv,49.1,24,12.0,0.0,G
72517014737,2020-05-11,40.64985,-75.44771,118.9,Lehigh_PA.csv,51.8,24,7.1,0.0,G
72517014737,2020-05-12,40.64985,-75.44771,118.9,Lehigh_PA.csv,51.5,24,10.1,0.02,G
72517014737,2020-05-13,40.64985,-75.44771,118.9,Lehigh_PA.csv,51.3,24,5.2,0.0,G
72517014737,2020-05-14,40.64985,-75.44771,118.9,Lehigh_PA.csv,53.7,24,4.8,0.0,G
72517014737,2020-05-15,40.64985,-75.44771,118.9,Lehigh_PA.csv,68.0,24,7.8,0.05,G
72517014737,2020-05-16,40.64985,-75.44771,118.9,Lehigh_PA.csv,68.2,24,6.6,0.11,G
72517014737,2020-05-17,40.64985,-75.44771,118.9,Lehigh_PA.csv,62.2,24,6.2,0.0,G
72517014737,2020-05-18,40.64985,-75.44771,118.9,Lehigh_PA.csv,61.5,24,9.2,0.0,G
72517014737,2020-05-19,40.64985,-75.44771,118.9,Lehigh_PA.csv,60.1,24,10.2,0.0,G
72517014737,2020-05-20,40.64985,-75.44771,118.9,Lehigh_PA.csv,55.2,24,10.6,0.0,G
72517014737,2020-05-21,40.64985,-75.44771,118.9,Lehigh_PA.csv,54.1,24,4.1,0.0,G
72517014737,2020-05-22,40.64985,-75.44771,118.9,Lehigh_PA.csv,62.2,24,4.8,0.0,G
72517014737,2020-05-23,40.64985,-75.44771,118.9,Lehigh_PA.csv,66.6,24,4.4,0.24,G
72517014737,2020-05-24,40.64985,-75.44771,118.9,Lehigh_PA.csv,61.9,24,7.8,0.68,G
72517014737,2020-05-25,40.64985,-75.44771,118.9,Lehigh_PA.csv,63.7,24,3.9,0.0,G
72517014737,2020-05-26,40.64985,-75.44771,118.9,Lehigh_PA.csv,70.4,24,3.7,0.0,G
72517014737,2020-05-27,40.64985,-75.44771,118.9,Lehigh_PA.csv,71.8,24,3.8,0.0,G
72517014737,2020-05-28,40.64985,-75.44771,118.9,Lehigh_PA.csv,72.3,24,6.5,0.0,G
72517014737,2020-05-29,40.64985,-75.44771,118.9,Lehigh_PA.csv,75.5,24,8.4,0.05,G
72517014737,2020-05-30,40.64985,-75.44771,118.9,Lehigh_PA.csv,69.3,24,5.0,0.74,G
